chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP,Agnostic
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp2,85,exp2_1c6a43b6ecab43bd96f02156925272ff,CHM only,0.062096206,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,141,exp3_a4a42c560b534f07b2d73db088ae8c78,"RGB, CIR and CHM",0.261424882,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,141,exp3_a4a42c560b534f07b2d73db088ae8c78,RGB and CIR,0.007642614,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,141,exp3_a4a42c560b534f07b2d73db088ae8c78,CHM only,0.000359774,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,105,exp4_d58deca0ae664d3bb77896fb4d8193ca,"RGB, CIR and CHM",0.227235302,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,105,exp4_d58deca0ae664d3bb77896fb4d8193ca,RGB and CIR,1.72E-05,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,105,exp4_d58deca0ae664d3bb77896fb4d8193ca,CHM only,0.004992756,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,124,exp3_6cc946fa98144e69b75e7433efdc46aa,"RGB, CIR and CHM",0.260850192,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,124,exp3_6cc946fa98144e69b75e7433efdc46aa,RGB and CIR,0,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,124,exp3_6cc946fa98144e69b75e7433efdc46aa,CHM only,0.092184222,FALSE
"[[-inf, inf]]",exp4,123,exp4_b1a84734bb4e44f4be0a30bbf990ebbc,"RGB, CIR and CHM",0.273656759,FALSE
"[[-inf, inf]]",exp4,123,exp4_b1a84734bb4e44f4be0a30bbf990ebbc,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp4,123,exp4_b1a84734bb4e44f4be0a30bbf990ebbc,CHM only,0.017935463,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_c09aaf8cd03b411fb2ff34804f955b24,"RGB, CIR and CHM",0.176845182,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_c09aaf8cd03b411fb2ff34804f955b24,RGB and CIR,0.003832936,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_c09aaf8cd03b411fb2ff34804f955b24,CHM only,2.53E-05,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,97,exp0_84698774803a4533a086952fee79d2bb,"RGB, CIR and CHM",0.231851681,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,97,exp0_84698774803a4533a086952fee79d2bb,RGB and CIR,0.000529275,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,97,exp0_84698774803a4533a086952fee79d2bb,CHM only,0.11200842,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,121,exp3_3f71879f09774a4f8cdeb2523c5b66ed,"RGB, CIR and CHM",0.271783014,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,121,exp3_3f71879f09774a4f8cdeb2523c5b66ed,RGB and CIR,0,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,121,exp3_3f71879f09774a4f8cdeb2523c5b66ed,CHM only,0.023654892,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,83,exp2_200ec0912a894f3aa25c56c7c852d62b,"RGB, CIR and CHM",0.203536611,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,83,exp2_200ec0912a894f3aa25c56c7c852d62b,RGB and CIR,0.000452283,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,83,exp2_200ec0912a894f3aa25c56c7c852d62b,CHM only,0.020149148,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,39,exp1_5bd3c12011ab4ca0b65247f691334150,"RGB, CIR and CHM",0.198756657,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,39,exp1_5bd3c12011ab4ca0b65247f691334150,RGB and CIR,0.000579216,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,39,exp1_5bd3c12011ab4ca0b65247f691334150,CHM only,0.003543242,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp3,186,exp3_797a9261eb3b41e1b69df729fa15dfc6,"RGB, CIR and CHM",0.246950841,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp3,186,exp3_797a9261eb3b41e1b69df729fa15dfc6,RGB and CIR,0.002185962,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp3,186,exp3_797a9261eb3b41e1b69df729fa15dfc6,CHM only,0.001404137,FALSE
"[[-inf, inf]]",exp2,119,exp2_98ef13f6ab324c058c68510082cd63ae,"RGB, CIR and CHM",0.217732671,FALSE
"[[-inf, inf]]",exp2,119,exp2_98ef13f6ab324c058c68510082cd63ae,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp2,119,exp2_98ef13f6ab324c058c68510082cd63ae,CHM only,0,FALSE
"[[-inf, inf]]",exp1,148,exp1_afa995f9f1b64a5c9649b5125f0fff60,"RGB, CIR and CHM",0.217353568,FALSE
"[[-inf, inf]]",exp1,148,exp1_afa995f9f1b64a5c9649b5125f0fff60,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp1,148,exp1_afa995f9f1b64a5c9649b5125f0fff60,CHM only,0.000496194,FALSE
"[[-inf, inf]]",exp3,179,exp3_a3ee242cffa642f9814f861708390202,"RGB, CIR and CHM",0.240889522,FALSE
"[[-inf, inf]]",exp3,179,exp3_a3ee242cffa642f9814f861708390202,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp3,179,exp3_a3ee242cffa642f9814f861708390202,CHM only,0.014447833,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,104,exp2_79eb8bcf47b743cb8826111010d058a2,"RGB, CIR and CHM",0.100225692,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,104,exp2_79eb8bcf47b743cb8826111010d058a2,RGB and CIR,0.000994568,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,104,exp2_79eb8bcf47b743cb8826111010d058a2,CHM only,0.000444229,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,121,exp4_eb7ee224f6e243f3a30d613473ad9b0b,"RGB, CIR and CHM",0.12404915,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,121,exp4_eb7ee224f6e243f3a30d613473ad9b0b,RGB and CIR,0.0026248,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,121,exp4_eb7ee224f6e243f3a30d613473ad9b0b,CHM only,0.015294652,FALSE
"[[-inf, inf]]",exp2,76,exp2_b464be7598d34257b7b133e51c930f15,"RGB, CIR and CHM",0.213543018,FALSE
"[[-inf, inf]]",exp2,76,exp2_b464be7598d34257b7b133e51c930f15,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp2,76,exp2_b464be7598d34257b7b133e51c930f15,CHM only,0.005331999,FALSE
"[[-inf, inf]]",exp2,90,exp2_5a5807cc7e4a455ca5a5829473776c69,"RGB, CIR and CHM",0.192319788,FALSE
"[[-inf, inf]]",exp2,90,exp2_5a5807cc7e4a455ca5a5829473776c69,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp2,90,exp2_5a5807cc7e4a455ca5a5829473776c69,CHM only,0.005715615,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,140,exp3_db6622e1073f4442bcfa2f71753f192a,"RGB, CIR and CHM",0.261666544,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,140,exp3_db6622e1073f4442bcfa2f71753f192a,RGB and CIR,0,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,140,exp3_db6622e1073f4442bcfa2f71753f192a,CHM only,0.005564311,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp1,98,exp1_8586889500454e43ab732d3d905e992b,"RGB, CIR and CHM",0.134849255,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp1,98,exp1_8586889500454e43ab732d3d905e992b,RGB and CIR,0.000685233,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp1,98,exp1_8586889500454e43ab732d3d905e992b,CHM only,0.025639323,FALSE
"[[-inf, inf]]",exp3,129,exp3_9539861ed5e94920942fb5db0b804478,"RGB, CIR and CHM",0.216921638,FALSE
"[[-inf, inf]]",exp3,129,exp3_9539861ed5e94920942fb5db0b804478,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp3,129,exp3_9539861ed5e94920942fb5db0b804478,CHM only,0.008457917,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp0,99,exp0_de40de2849a34d599e4987b3d8c62d3b,"RGB, CIR and CHM",0.234945817,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp0,99,exp0_de40de2849a34d599e4987b3d8c62d3b,RGB and CIR,0.001173464,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp0,99,exp0_de40de2849a34d599e4987b3d8c62d3b,CHM only,0.02045135,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,77,exp1_27e01bc7dfaa43d58eba434b17ae9262,"RGB, CIR and CHM",0.24510715,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,77,exp1_27e01bc7dfaa43d58eba434b17ae9262,RGB and CIR,0.000702367,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,77,exp1_27e01bc7dfaa43d58eba434b17ae9262,CHM only,0.039810806,FALSE
"[[-inf, inf]]",exp1,103,exp1_493d6398f6d849f6a4beeea1b11aa75c,"RGB, CIR and CHM",0.250621331,FALSE
"[[-inf, inf]]",exp1,103,exp1_493d6398f6d849f6a4beeea1b11aa75c,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp1,103,exp1_493d6398f6d849f6a4beeea1b11aa75c,CHM only,0.009118153,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp2,102,exp2_1f168ccba6794c86b4ca5c76f24d671a,"RGB, CIR and CHM",0.199728469,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp2,102,exp2_1f168ccba6794c86b4ca5c76f24d671a,RGB and CIR,6.59E-05,FALSE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp2,102,exp2_1f168ccba6794c86b4ca5c76f24d671a,CHM only,0.002850345,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,68,exp1_83d1ad904f814e229295c7763c760cf6,"RGB, CIR and CHM",0.279285723,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,68,exp1_83d1ad904f814e229295c7763c760cf6,RGB and CIR,0.000613453,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,68,exp1_83d1ad904f814e229295c7763c760cf6,CHM only,0.030825085,FALSE
"[[-inf, inf]]",exp4,148,exp4_001eabe49f3c429c8bc882bcac163f65,"RGB, CIR and CHM",0.24605098,FALSE
"[[-inf, inf]]",exp4,148,exp4_001eabe49f3c429c8bc882bcac163f65,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp4,148,exp4_001eabe49f3c429c8bc882bcac163f65,CHM only,0.000376952,FALSE
"[[-inf, inf]]",exp3,182,exp3_ecf12f71c45b4409b401914b7c9c4cee,"RGB, CIR and CHM",0.193110358,FALSE
"[[-inf, inf]]",exp3,182,exp3_ecf12f71c45b4409b401914b7c9c4cee,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp3,182,exp3_ecf12f71c45b4409b401914b7c9c4cee,CHM only,0,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,89,exp2_20e290b617ff484b8dc534587727396f,"RGB, CIR and CHM",0.185566591,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,89,exp2_20e290b617ff484b8dc534587727396f,RGB and CIR,0.002532714,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,89,exp2_20e290b617ff484b8dc534587727396f,CHM only,0.001605343,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,88,exp4_203d019523f544118fd9ebf3ce58fcc6,"RGB, CIR and CHM",0.157463372,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,88,exp4_203d019523f544118fd9ebf3ce58fcc6,RGB and CIR,0.003165795,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,88,exp4_203d019523f544118fd9ebf3ce58fcc6,CHM only,0.16097618,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,73,exp1_23b7abb3a70846d599d123f238e25b41,"RGB, CIR and CHM",0.158997283,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,73,exp1_23b7abb3a70846d599d123f238e25b41,RGB and CIR,0.00140665,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,73,exp1_23b7abb3a70846d599d123f238e25b41,CHM only,0.049484147,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,82,exp1_2f0b75250d9848d68d9e49e8a85345b1,"RGB, CIR and CHM",0.255257212,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,82,exp1_2f0b75250d9848d68d9e49e8a85345b1,RGB and CIR,0,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,82,exp1_2f0b75250d9848d68d9e49e8a85345b1,CHM only,0.019613195,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,112,exp2_68d45b5be4934ca0810edb8e9ea8ba27,"RGB, CIR and CHM",0.222337951,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,112,exp2_68d45b5be4934ca0810edb8e9ea8ba27,RGB and CIR,0,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,112,exp2_68d45b5be4934ca0810edb8e9ea8ba27,CHM only,0.011900243,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,84,exp0_5f4dd2fde6eb4efeb3686d3f79c14f73,"RGB, CIR and CHM",0.084805308,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,84,exp0_5f4dd2fde6eb4efeb3686d3f79c14f73,RGB and CIR,0.001757293,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,84,exp0_5f4dd2fde6eb4efeb3686d3f79c14f73,CHM only,0.035430924,FALSE
"[[-inf, inf]]",exp0,58,exp0_21920980d7624c45ae7dba825b1a000c,"RGB, CIR and CHM",0.176003595,FALSE
"[[-inf, inf]]",exp0,58,exp0_21920980d7624c45ae7dba825b1a000c,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp0,58,exp0_21920980d7624c45ae7dba825b1a000c,CHM only,0.012464883,FALSE
"[[-inf, inf]]",exp1,125,exp1_880a59b724f84718897a613d8af31276,"RGB, CIR and CHM",0.252654611,FALSE
"[[-inf, inf]]",exp1,125,exp1_880a59b724f84718897a613d8af31276,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp1,125,exp1_880a59b724f84718897a613d8af31276,CHM only,0.0081123,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,77,exp2_d44fc68295d5483fa8876c155995e281,"RGB, CIR and CHM",0.215751361,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,77,exp2_d44fc68295d5483fa8876c155995e281,RGB and CIR,5.98E-05,FALSE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,77,exp2_d44fc68295d5483fa8876c155995e281,CHM only,0.005189703,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,157,exp2_fdc8f17d69724ef099797b3e5863fdee,"RGB, CIR and CHM",0.19360629,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,157,exp2_fdc8f17d69724ef099797b3e5863fdee,RGB and CIR,6.16E-05,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,157,exp2_fdc8f17d69724ef099797b3e5863fdee,CHM only,0.029055206,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,123,exp3_6b8960d970e6472394cff33055f1cbf7,"RGB, CIR and CHM",0.281979906,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,123,exp3_6b8960d970e6472394cff33055f1cbf7,RGB and CIR,0,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,123,exp3_6b8960d970e6472394cff33055f1cbf7,CHM only,0.000462662,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,81,exp0_bf858c88b71541079c430a0ff41a78e4,"RGB, CIR and CHM",0.101449259,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,81,exp0_bf858c88b71541079c430a0ff41a78e4,RGB and CIR,0.000152151,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,81,exp0_bf858c88b71541079c430a0ff41a78e4,CHM only,0.033456613,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,130,exp4_367a6370730b401aa646566b6a2e1703,"RGB, CIR and CHM",0.301042842,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,130,exp4_367a6370730b401aa646566b6a2e1703,RGB and CIR,0.001957481,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,130,exp4_367a6370730b401aa646566b6a2e1703,CHM only,0.000356842,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,131,exp4_d148571c6ae046b58446f3296269d597,"RGB, CIR and CHM",0.269220609,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,131,exp4_d148571c6ae046b58446f3296269d597,RGB and CIR,0.001469975,FALSE
